tipo	historia	titulo	antes	despues
texto	t6#1	Une plante pour Léa	“Mais ce n'est plus chez toi.”	“Mais ce n'est plus comme avant.”
texto	t6#1	Une plante pour Léa	Au plafond, il y a une vieille ampoule.	Au plafond, Hugo allume une vieille ampoule.
texto	t6#1	Une plante pour Léa	Il n'y a plus de meubles.	L'appartement est vide, sans meubles.
texto	t6#1	Une plante pour Léa	“C'est joli”, répond Léa.	“C'est joli. J'aime beaucoup”, répond Léa.
texto	t6#2	Des pas au-dessus	“C'est une femme sympa”, explique Antoine.	“C'est une femme sympa. Elle veut louer”, explique Antoine.
texto	t7#0	À samedi, Hugo	Puis il monte dans la voiture.	Il monte dans la voiture.
texto	t7#0	À samedi, Hugo	Clara est une nouvelle voisine	Clara est une nouvelle locataire
texto	t7#0	À samedi, Hugo	“Tu gardes la plante?”	“Tu arroses la plante?”
texto	t7#1	Clara tient la boule	Clara lance. Sa boule roule	Clara veut tirer. Sa boule roule
texto	t7#1	Clara tient la boule	Clara boit à la gourde.	Clara boit encore un peu à la gourde.
texto	t7#1	Clara tient la boule	Clara a une casquette et des lunettes.	Clara a une casquette verte et des lunettes.
texto	t7#1	Clara tient la boule	Sa boule roule, et elle rate le cochonnet.	Sa boule roule loin, et elle rate le cochonnet.
texto	t7#1	Clara tient la boule	Puis elle ne dit rien.	Ensuite, elle ne dit rien.
texto	t7#2	Treize, comme avant	On parie le café?”	Tu paies le café?”
texto	t7#2	Treize, comme avant	Personne ne joue exprès.	Personne ne perd exprès.
texto	t7#2	Treize, comme avant	Hugo arrive en TGV.	Hugo arrive en TGV, heureux.
texto	t7#2	Treize, comme avant	Il dort sur le canapé du café.	Il dort sur le long canapé du café.
plaza	t2#1	La ligne coupe après Hugo	demander (demandes)	demander (demande)
plaza	t1#0	Une boule sous le platane	partir (pars)	partir (part)
plaza	t1#1	Deux carreaux pour Hugo	payer (paies)	payer (paie)
plaza	t1#1	Deux carreaux pour Hugo	tirer (tirer)	tirer (tire)
plaza	t3#1	Mille euros sans compter	avoir besoin (a besoin)	avoir besoin (besoin)
plaza	t3#2	Une goutte chaque nuit	avoir raison (as raison)	avoir raison (raison)
plaza	t3#0	Le fauteuil descend	merci beaucoup (Merci beaucoup)	merci (Merci)
plaza	t3#0	Le fauteuil descend	large (large)	en bas (en bas)
plaza	t6#0	L'annonce du couloir	à louer (À louer)	rien (rien)
plaza	t5#1	Trente-trois bougies	gai (gai)	vieux (vieux)
plaza	t4#1	Vingt minutes, c'est long	lent (lent)	poser (pose)
plaza	t6#2	Des pas au-dessus	ailleurs (ailleurs)	ici (ici)
plaza	t2#0	Théo écoute pour Léa	l'oreille (oreilles)	quoi (quoi)
plaza	t4#0	Tu prends la carte?	c'est ça (C'est ça)	l'ami (ami)
plaza	t7#2	Treize, comme avant	manger (mange)	sentir (sent)
plaza	t7#2	Treize, comme avant	la prochaine fois (La prochaine fois)	faire (fait)
plaza	t1#1	Deux carreaux pour Hugo	l'après-midi (après-midi)	aller (va)
plaza	t2#1	La ligne coupe après Hugo	deux fois (deux fois)	deux (deux)
plaza	t7#1	Clara tient la boule	trouver (trouve)	pouvoir (peux)
plaza	t7#0	À samedi, Hugo	pouvoir (peut)	nouveau (nouvelle)
plaza	t2#0	Théo écoute pour Léa	nouveau (nouveau)	s'appeler (s'appelle)
