palabra	fuente	glosa	tipo	historia	frase	frases (max 6)
cafetière	nueva	coffee pot (la cafetière)	noun	le-torchon-a-la-main	Elle range la cafetière.	1
cahier	nueva	notebook (le cahier)	noun	les-mots-a-l-envers	Dans son cahier, Léa écrit les mots durs.	2
camionnette	nueva	small van (la camionnette)	noun	le-fauteuil-descend	Chloé, une nouvelle voisine, a une petite camionnette.	1
canapé	nueva	sofa (le canapé)	noun	treize-comme-avant	Il dort sur le long canapé du café.	1
carreau	nueva	carreau, a shot that knocks the other boule away and stays in its place (le carreau)	noun	deux-carreaux-pour-hugo	Sa boule reste à sa place: c'est un carreau.	3
carreaux	nueva	carreaux, perfect pétanque shots (le carreau)	noun	deux-carreaux-pour-hugo	Deux carreaux pour Hugo	1
casquette	nueva	cap (la casquette)	noun	clara-tient-la-boule	Clara a une casquette verte et des lunettes.	1
casse	nueva	breaks (casser)	verb	le-torchon-a-la-main	Il casse des tasses”, répond Léa.	1
cassé	nueva	broken (cassé)	adjective	mille-euros-sans-compter	Près du frigo, le vieux percolateur est cassé.	1
cave	nueva	cellar (la cave)	noun	l-annonce-du-couloir	Les meubles de Hugo vont à la cave, dessous.	1
chance	nueva	luck; chance (la chance)	noun	la-boule-porte-bonheur	Cette boule porte chance.	2
chante	nueva	sings (chanter)	verb	trente-trois-bougies	Tout le monde chante, danse et fête Hugo.	1
chat	nueva	cat (le chat)	noun	a-toi-la-boule	Un gros chat dort sur le banc, sous les feuilles.	1
chauffage	nueva	heating (le chauffage)	noun	une-plante-pour-lea	Le chauffage est éteint, et l'air est tiède.	1
cheminées	nueva	chimneys (la cheminée)	noun	la-ligne-coupe-apres-hugo	Sur le toit, le linge sèche entre les cheminées.	1
cheveux	nueva	hair (les cheveux)	noun	des-pas-au-dessus	Elle a un manteau jaune et les cheveux bruns.	1
chien	nueva	dog (le chien)	noun	a-samedi-hugo	Une femme sort d'un taxi, avec son chien.	5
chiffon	nueva	cloth, rag (le chiffon)	noun	si-je-gagne-tu-restes	Elle les nettoie avec un chiffon.	1
chocolat	nueva	chocolate (le chocolat)	noun	treize-comme-avant	Au petit-déjeuner, Hugo a un pain au chocolat.	1
choisis	nueva	choose (choisir)	verb	la-boule-porte-bonheur	“Tu choisis quoi?”, demande Louise.	2
chose	nueva	thing (la chose)	noun	la-ligne-coupe-apres-hugo	Elle veut dire une chose avant son départ.	2
ciseaux	nueva	scissors (les ciseaux)	noun	la-boule-porte-bonheur	Louise coupe le papier avec les ciseaux.	1
claire	nueva	clear (clair)	adjective	une-goutte-chaque-nuit	L'eau est claire.	2
clés	nueva	keys (la clé)	noun	a-samedi-hugo	“Voilà les clés.	1
cochonnet	nueva	jack, the small target ball in pétanque (le cochonnet)	noun	a-toi-la-boule	“À toi la boule, à moi le cochonnet.”	5
coffre	nueva	boot of a car (le coffre)	noun	a-samedi-hugo	Il met la valise dans le coffre.	1
commencer	nueva	to start (commencer)	verb	la-ligne-coupe-apres-hugo	Je dois commencer en mars”, dit Hugo.	1
compris	nueva	understood (comprendre)	verb	les-mots-a-l-envers	“Ça y est, j'ai compris!”, dit Léa.	1
compter	nueva	to count (compter)	verb	mille-euros-sans-compter	Mille euros sans compter	1
contre	nueva	in exchange for; against (contre)	preposition	le-fauteuil-descend	Un service contre un café.”	1
corde	nueva	rope (la corde)	noun	le-fauteuil-descend	Elle a aussi une corde.	1
coude	nueva	elbow (le coude)	noun	clara-tient-la-boule	Tu baisses le coude”, explique Léa.	1
coule	nueva	runs, drips (couler)	verb	une-goutte-chaque-nuit	Le robinet du café coule tout le temps.	3
coup	nueva	suddenly (tout à coup)	expression	des-pas-au-dessus	Tout à coup, c'est tranquille.	1
coupée	nueva	cut off (coupé)	adjective	la-ligne-coupe-apres-hugo	Mais la ligne est coupée après “Hugo”.	1
coussin	nueva	cushion (le coussin)	noun	le-fauteuil-descend	Le coussin sent Hugo.	1
craie	nueva	chalk (la craie)	noun	si-je-gagne-tu-restes	Hugo dessine un rond avec la craie.	1
crayon	nueva	pencil (le crayon)	noun	les-mots-a-l-envers	Chaque nuit, elle écrit au crayon.	1
côté	nueva	side; next to, nearby (à côté)	noun	theo-ecoute-pour-lea	Il est sur un tabouret, à côté d'elle.	3
cœur	nueva	heart (le cœur)	noun	la-ligne-coupe-apres-hugo	Elle serre le portable près du cœur.	1
demandes	nueva	you ask (demander)	verb	la-ligne-coupe-apres-hugo	Tu demandes quoi?”	1
dessine	nueva	draws (dessiner)	verb	si-je-gagne-tu-restes	Hugo dessine un rond avec la craie.	1
dessous	nueva	underneath, below (dessous)	adverb	une-goutte-chaque-nuit	Hugo met un seau dessous.	2
dimanche	nueva	Sunday (dimanche)	noun	clara-tient-la-boule	Chaque dimanche, Léa joue à la pétanque, seule maintenant.	2
dos	nueva	back (le dos)	noun	le-fauteuil-descend	Léa a mal au dos.	1
droit	nueva	straight (droit)	adverb	treize-comme-avant	Hugo tire droit.	2
drôle	nueva	funny (drôle)	adjective	tu-prends-la-carte	C'est drôle.	2
durs	nueva	hard, difficult (dur)	adjective	les-mots-a-l-envers	Dans son cahier, Léa écrit les mots durs.	1
début	nueva	beginning, start (le début)	noun	clara-tient-la-boule	“Toujours, au début.”	1
déchire	nueva	tears, rips (déchirer)	verb	a-toi-la-boule	Il déchire doucement le papier.	1
déménage	nueva	moves out, moves house (déménager)	verb	le-fauteuil-descend	Hugo déménage en mars.	2
départ	nueva	departure, leaving (le départ)	noun	tu-prends-la-carte	Paris, c'est le départ de Hugo.	4
dépend	nueva	it depends (ça dépend)	expression	vingt-minutes-c-est-long	“Ça dépend.	1
désolé	nueva	sorry (désolé)	adjective	une-boule-sous-le-platane	Je suis désolé.”	2
efface	nueva	rubs out (effacer)	verb	les-mots-a-l-envers	Elle efface avec la gomme.	1
emballe	nueva	wraps (emballer)	verb	la-boule-porte-bonheur	Louise emballe le paquet avec du scotch.	1
ensuite	nueva	then, after that (ensuite)	adverb	la-boule-porte-bonheur	Ensuite, elle la donne.	4
entends	nueva	hear (entendre)	verb	theo-ecoute-pour-lea	Je n'entends rien”, crie Léa.	2
envers	nueva	backwards, the wrong way round (à l'envers)	expression	les-mots-a-l-envers	Les mots à l'envers	2
es	nueva	are (être, tu form)	verb	theo-ecoute-pour-lea	Tu es gentil.”	6
espère	nueva	hopes (espérer)	verb	si-je-gagne-tu-restes	Léa espère, mais ce soir, il joue bien.	2
essayer	nueva	to try (essayer)	verb	clara-tient-la-boule	“Je peux essayer?”, demande Clara.	2
face	nueva	opposite (en face de)	expression	vingt-minutes-c-est-long	À Paris, Hugo habite en face du métro.	1
facile	nueva	easy (facile)	adjective	deux-carreaux-pour-hugo	“C'est facile.	1
fait	nueva	makes, does (faire)	verb	la-boule-porte-bonheur	Louise fait un nœud rouge.	3
fatiguée	nueva	tired (fatigué)	adjective	le-fauteuil-descend	Je ne suis jamais fatiguée”, rit Léa.	1
fauteuil	nueva	armchair (le fauteuil)	noun	le-fauteuil-descend	Le fauteuil descend	6
faux	nueva	wrong, not true (faux)	adjective	tu-prends-la-carte	“C'est faux!”	1
femme	nueva	woman (la femme)	noun	a-samedi-hugo	Une femme sort d'un taxi, avec son chien.	3
fermés	nueva	closed (fermé)	adjective	l-annonce-du-couloir	En haut, les volets sont fermés.	1
feuilles	nueva	leaves (la feuille)	noun	a-toi-la-boule	Un gros chat dort sur le banc, sous les feuilles.	2
ficelle	nueva	string (la ficelle)	noun	si-je-gagne-tu-restes	Sous le lampadaire, il mesure avec une ficelle.	1
fier	nueva	proud (fier)	adjective	le-torchon-a-la-main	Hugo est fier.	2
fois	nueva	time, as in once or twice (la fois)	noun	une-goutte-chaque-nuit	Il serre le tuyau, deux fois.	6
frigo	nueva	fridge (le frigo)	noun	mille-euros-sans-compter	Près du frigo, le vieux percolateur est cassé.	1
froid	nueva	cold (froid)	adjective	a-toi-la-boule	L'air du matin est froid.	3
fête	nueva	celebrates (fêter)	verb	trente-trois-bougies	Tout le monde chante, danse et fête Hugo.	1
gagnant	nueva	winner (le gagnant)	noun	trente-trois-bougies	Tu es le gagnant!”, dit Léa.	1
gagne	nueva	win, wins (gagner)	verb	si-je-gagne-tu-restes	Si je gagne, tu restes	6
gagner	nueva	to win (gagner)	verb	trente-trois-bougies	Léa laisse gagner Hugo.	1
gai	nueva	cheerful (gai)	adjective	trente-trois-bougies	Hugo est gai.	1
gare	nueva	train station (la gare)	noun	tu-prends-la-carte	Il arrive de la gare avec un grand sac.	2
genoux	nueva	knees (le genou)	noun	clara-tient-la-boule	Tu plies les genoux.	1
gentil	nueva	kind, nice (gentil)	adjective	theo-ecoute-pour-lea	Tu es gentil.”	1
gentille	nueva	kind, nice (gentil)	adjective	clara-tient-la-boule	Mais Clara est gentille.	1
gomme	nueva	rubber, eraser (la gomme)	noun	les-mots-a-l-envers	Elle efface avec la gomme.	1
gourde	nueva	water bottle (la gourde)	noun	clara-tient-la-boule	Léa pose sa gourde sur le banc.	2
goutte	nueva	drop of water (la goutte)	noun	une-goutte-chaque-nuit	Une goutte chaque nuit	4
gouttes	nueva	drops of water (la goutte)	noun	une-goutte-chaque-nuit	Léa écoute les gouttes chaque nuit.	1
grandit	nueva	grows (grandir)	verb	une-plante-pour-lea	“Elle grandit petit à petit”, rit Hugo.	1
gratuit	nueva	free, it costs nothing (gratuit)	adjective	tu-prends-la-carte	“Alors, c'est gratuit?”	3
grave	nueva	serious; no problem (pas grave)	adjective	tu-prends-la-carte	“Pas grave.	2
gravier	nueva	gravel (le gravier)	noun	si-je-gagne-tu-restes	Le gravier est encore chaud.	1
gros	nueva	big, fat (gros)	adjective	a-toi-la-boule	Un gros chat dort sur le banc, sous les feuilles.	2
guirlande	nueva	string of lights (la guirlande)	noun	trente-trois-bougies	Il y a une guirlande.	1
gâteau	nueva	cake (le gâteau)	noun	trente-trois-bougies	Sur le gâteau, il y a trente-trois bougies.	2
génial	nueva	great!, brilliant (génial)	adjective	la-boule-porte-bonheur	“Génial!”, dit Louise.	3
habite	nueva	lives (habiter)	verb	vingt-minutes-c-est-long	À Paris, Hugo habite en face du métro.	2
habitude	nueva	habit; usually (d'habitude)	noun	l-annonce-du-couloir	D'habitude, il vient le lundi, tard.	1
haut-parleur	nueva	loudspeaker (le haut-parleur)	noun	la-ligne-coupe-apres-hugo	Léa met le haut-parleur.	1
heureux	nueva	happy (heureux)	adjective	le-torchon-a-la-main	Il est heureux.	2
inconnue	nueva	stranger, a woman nobody knows (l'inconnue)	noun	a-samedi-hugo	Léa sait: c'est l'inconnue de l'écharpe.	4
j	nueva	I (j', from je before a vowel)	pronoun	les-mots-a-l-envers	“Ça y est, j'ai compris!”, dit Léa.	2
jeu	nueva	game (le jeu)	noun	trente-trois-bougies	C'est un jeu”, répond Léa.	4
joli	nueva	pretty, nice (joli)	adjective	la-boule-porte-bonheur	“Un joli cadeau coûte beaucoup”, répond Léa.	2
jolie	nueva	pretty, nice (joli)	adjective	clara-tient-la-boule	Clara trouve la placette jolie.	1
jouent	nueva	they play (jouer)	verb	une-boule-sous-le-platane	Ils jouent à la pétanque chaque dimanche.	1
jouer	nueva	to play (jouer)	verb	a-samedi-hugo	“À samedi, pour jouer?”	1
jour	nueva	day (le jour)	noun	a-toi-la-boule	“Un jour.	3
jours	nueva	days (le jour)	noun	le-fauteuil-descend	Un café tous les jours, jusqu'en mars”, répond Chloé.	2
joyeux	nueva	happy (joyeux anniversaire: happy birthday)	adjective	trente-trois-bougies	Tout le monde dit: “Joyeux anniversaire!”	1
jus	nueva	juice (le jus)	noun	tu-prends-la-carte	Elle apporte un jus d'orange: gratuit, pour un ami de Hugo.	1
klaxon	nueva	car horn (le klaxon)	noun	a-samedi-hugo	Le klaxon sonne deux fois.	1
lampadaire	nueva	street lamp (le lampadaire)	noun	si-je-gagne-tu-restes	Sous le lampadaire, il mesure avec une ficelle.	1
lampion	nueva	paper lantern (le lampion)	noun	trente-trois-bougies	Sous chaque platane, Léa allume un lampion.	2
lance	nueva	throws (lancer)	verb	treize-comme-avant	Léa lance.	2
large	nueva	wide (large)	adjective	le-fauteuil-descend	Le fauteuil de Hugo, là-haut, est large et lourd.	1
larmes	nueva	tears (la larme)	noun	a-samedi-hugo	Elle retient ses larmes.	2
lent	nueva	slow (lent)	adjective	vingt-minutes-c-est-long	C'est moins lent.”	1
lentement	nueva	slowly (lentement)	adverb	a-samedi-hugo	La voiture part lentement.	2
lettres	nueva	letters; letterbox (boîte aux lettres)	noun	l-annonce-du-couloir	Léa lit l'annonce sur la boîte aux lettres.	1
ligne	nueva	phone line (la ligne)	noun	la-ligne-coupe-apres-hugo	La ligne coupe après Hugo	2
linge	nueva	washing, laundry (le linge)	noun	la-ligne-coupe-apres-hugo	Sur le toit, le linge sèche entre les cheminées.	1
lit	nueva	reads (lire)	verb	les-mots-a-l-envers	Léa lit une phrase: “Tu me manques.”	2
locataire	nueva	tenant (le locataire)	noun	a-samedi-hugo	Clara est une nouvelle locataire, en manteau jaune.	3
long	nueva	long (long)	adjective	vingt-minutes-c-est-long	Vingt minutes, c'est long	3
louer	nueva	to rent out; for rent (à louer)	verb	l-annonce-du-couloir	Aujourd'hui, il a une annonce: “À louer.”	3
loyer	nueva	rent (le loyer)	noun	vingt-minutes-c-est-long	Le loyer coûte mille euros par mois.	4
lune	nueva	moon (la lune)	noun	les-mots-a-l-envers	Dehors, la lune est douce.	2
lunettes	nueva	glasses (les lunettes)	noun	clara-tient-la-boule	Clara a une casquette verte et des lunettes.	1
là-haut	nueva	up there (là-haut)	adverb	le-torchon-a-la-main	Il monte là-haut, à la maison.	3
lève	nueva	raises, lifts (lever)	verb	treize-comme-avant	Léa lève les bras.	1
machine	nueva	machine; here, the coffee machine (la machine)	noun	mille-euros-sans-compter	Léa garde son argent pour une nouvelle machine.	2
mal	nueva	badly; pain (avoir mal); not bad (pas mal)	adverb	les-mots-a-l-envers	Elle a mal à la tête.	5
manques	nueva	I miss you (tu me manques)	verb	les-mots-a-l-envers	Léa lit une phrase: “Tu me manques.”	3
manteau	nueva	coat (le manteau)	noun	a-samedi-hugo	Clara est une nouvelle locataire, en manteau jaune.	3
marches	nueva	you walk (marcher)	verb	vingt-minutes-c-est-long	“Tu marches un peu?”, demande Léa.	1
mars	nueva	March (mars)	noun	theo-ecoute-pour-lea	“Il part vraiment en mars.”	6
marseille	nueva	Marseille, the port city in the south of France	noun	si-je-gagne-tu-restes	Léa veut parier: “Si je gagne, tu restes à Marseille.	3
message	nueva	message (le message)	noun	theo-ecoute-pour-lea	Un message vocal arrive sur son portable.	1
mesure	nueva	measures (mesurer)	verb	si-je-gagne-tu-restes	Sous le lampadaire, il mesure avec une ficelle.	1
meubles	nueva	furniture (les meubles)	noun	l-annonce-du-couloir	Les meubles de Hugo vont à la cave, dessous.	2
miettes	nueva	crumbs (la miette)	noun	a-toi-la-boule	Léa balaie les miettes.	1
minute	nueva	minute (la minute)	noun	le-torchon-a-la-main	Hugo reste moins d'une minute.	1
minutes	nueva	minutes (la minute)	noun	vingt-minutes-c-est-long	Vingt minutes, c'est long	5
mistral	nueva	mistral, the strong cold wind of Provence (le mistral)	noun	deux-carreaux-pour-hugo	Elle porte son tablier, et le mistral arrive.	1
mois	nueva	month (le mois)	noun	vingt-minutes-c-est-long	Le loyer coûte mille euros par mois.	3
mon	nueva	my (mon)	determiner	vingt-minutes-c-est-long	“Mon travail est à vingt minutes”, dit Hugo.	3
montrer	nueva	to show (montrer)	verb	deux-carreaux-pour-hugo	Hugo veut montrer quelque chose à Léa.	1
montres	nueva	you show (montrer)	verb	deux-carreaux-pour-hugo	Mais demain, tu me montres.”	1
mot	nueva	word; a short note (le mot)	noun	des-pas-au-dessus	Elle laisse un mot: “Pour la nouvelle voisine, avec un café.	1
mots	nueva	words (le mot)	noun	les-mots-a-l-envers	Les mots à l'envers	2
mouchoir	nueva	handkerchief, tissue (le mouchoir)	noun	a-samedi-hugo	Hugo lui donne un mouchoir.	1
mur	nueva	wall (le mur)	noun	une-plante-pour-lea	Hugo peint le dernier mur en blanc.	1
méchant	nueva	mean, unkind (méchant)	adjective	l-annonce-du-couloir	“Je ne suis pas méchant.	1
méchante	nueva	mean, unkind (méchant)	adjective	des-pas-au-dessus	Léa ne peut pas être méchante.	1
métro	nueva	underground, metro (le métro)	noun	le-torchon-a-la-main	Le métro est en bas”, explique Hugo.	4
nappe	nueva	tablecloth (la nappe)	noun	les-mots-a-l-envers	Le cahier est sur la nappe du café.	1
ne	nueva	not (ne ... pas); no longer (ne ... plus)	adverb	le-torchon-a-la-main	Elle ne veut pas écouter, parce que c'est triste.	6
nettoie	nueva	cleans (nettoyer)	verb	si-je-gagne-tu-restes	Elle les nettoie avec un chiffon.	1
noir	nueva	black; black coffee (café noir)	adjective	tu-prends-la-carte	Elle sert un café noir.	1
nouveau	nueva	new (nouveau)	adjective	theo-ecoute-pour-lea	Le nouveau serveur s'appelle Théo.	1
nuit	nueva	night (la nuit)	noun	une-goutte-chaque-nuit	Une goutte chaque nuit	3
nœud	nueva	bow, knot (le nœud)	noun	la-boule-porte-bonheur	Louise fait un nœud rouge.	1
occupée	nueva	busy, with a lot to do (occupé)	adjective	theo-ecoute-pour-lea	Le café est plein, et Léa est occupée.	2
offrir	nueva	to give as a present (offrir)	verb	la-boule-porte-bonheur	Léa veut offrir un cadeau.	2
ombre	nueva	shade (l'ombre)	noun	deux-carreaux-pour-hugo	Ils restent à l'ombre tout l'après-midi.	1
orange	nueva	orange (l'orange)	noun	tu-prends-la-carte	Elle apporte un jus d'orange: gratuit, pour un ami de Hugo.	1
oreiller	nueva	pillow (l'oreiller)	noun	treize-comme-avant	Il rêve sur un vieil oreiller.	1
oreilles	nueva	ears (l'oreille)	noun	theo-ecoute-pour-lea	Il met les écouteurs dans ses oreilles.	1
outils	nueva	tools (l'outil)	noun	une-goutte-chaque-nuit	Cet après-midi, Hugo arrive avec une boîte à outils.	1
page	nueva	page (la page)	noun	les-mots-a-l-envers	Elle tourne la page.	1
paies	nueva	you pay (payer)	verb	treize-comme-avant	Tu paies le café?”	2
pain	nueva	bread; chocolate croissant (pain au chocolat)	noun	treize-comme-avant	Au petit-déjeuner, Hugo a un pain au chocolat.	1
paquet	nueva	parcel, package (le paquet)	noun	la-boule-porte-bonheur	Louise emballe le paquet avec du scotch.	3
parce	nueva	because (parce que)	conjunction	le-torchon-a-la-main	Elle ne veut pas écouter, parce que c'est triste.	2
pardon	nueva	sorry, excuse me (pardon)	interjection	theo-ecoute-pour-lea	“Pardon.	3
pari	nueva	bet (le pari)	noun	si-je-gagne-tu-restes	Léa n'oublie pas le pari.	2
parie	nueva	bet (parier)	verb	trente-trois-bougies	“On parie?”	3
parier	nueva	to bet (parier)	verb	si-je-gagne-tu-restes	Léa veut parier: “Si je gagne, tu restes à Marseille.	1
paris	nueva	Paris, the capital of France	noun	theo-ecoute-pour-lea	Il est à Paris, loin d'ici.	6
parquet	nueva	wooden floor (le parquet)	noun	des-pas-au-dessus	Le parquet est vieux.	1
pars	nueva	leave (partir)	verb	si-je-gagne-tu-restes	“Tu pars en mars.	3
part	nueva	leaves, goes off (partir)	verb	theo-ecoute-pour-lea	“Il part vraiment en mars.”	6
partage	nueva	share (partager)	verb	a-toi-la-boule	“Alors, on partage”, répond Léa.	2
partie	nueva	game, a round of pétanque (la partie)	noun	trente-trois-bougies	À la fin, il y a une dernière partie.	3
partout	nueva	everywhere (partout)	adverb	le-torchon-a-la-main	“Théo court partout.	3
pas	nueva	not (ne ... pas); steps (le pas)	adverb	le-torchon-a-la-main	Elle ne veut pas écouter, parce que c'est triste.	6
pastis	nueva	pastis, an aniseed drink from Marseille (le pastis)	noun	trente-trois-bougies	“Le pastis est sur la table!”, crie Léa.	2
peint	nueva	paints (peindre)	verb	une-plante-pour-lea	Hugo peint le dernier mur en blanc.	1
pense	nueva	think (penser)	verb	les-mots-a-l-envers	“Moi aussi, je pense à toi.”	2
percolateur	nueva	big coffee machine of a café (le percolateur)	noun	mille-euros-sans-compter	Près du frigo, le vieux percolateur est cassé.	3
perdant	nueva	loser (le perdant)	noun	trente-trois-bougies	“Le perdant paie le pastis”, dit Hugo.	2
perds	nueva	lose (perdre)	verb	trente-trois-bougies	“Tu perds pour moi?”, demande Hugo.	2
petit-déjeuner	nueva	breakfast (le petit-déjeuner)	noun	treize-comme-avant	Au petit-déjeuner, Hugo a un pain au chocolat.	1
photos	nueva	photos (la photo)	noun	le-torchon-a-la-main	Il montre les photos, une à une.	1
phrase	nueva	sentence (la phrase)	noun	les-mots-a-l-envers	Léa lit une phrase: “Tu me manques.”	1
pied	nueva	foot; on foot (à pied)	noun	vingt-minutes-c-est-long	Ici, le port est à dix minutes à pied.	1
placette	nueva	small square (la placette)	noun	a-toi-la-boule	La placette est tranquille, mais sale.	3
plafond	nueva	ceiling (le plafond)	noun	une-plante-pour-lea	Au plafond, Hugo allume une vieille ampoule.	2
plaisir	nueva	pleasure; gladly (avec plaisir)	noun	si-je-gagne-tu-restes	“Avec plaisir”, dit Hugo.	2
plan	nueva	map (le plan)	noun	vingt-minutes-c-est-long	Ils regardent le plan tous les deux.	1
plante	nueva	plant (la plante)	noun	a-samedi-hugo	“Tu arroses la plante?”	4
platane	nueva	plane tree, the big tree of southern squares (le platane)	noun	trente-trois-bougies	Sous chaque platane, Léa allume un lampion.	3
plateau	nueva	tray (le plateau)	noun	theo-ecoute-pour-lea	Il court entre les tables avec son plateau.	1
plaît	nueva	please (s'il te plaît)	expression	une-plante-pour-lea	“Tu l'arroses tous les matins, s'il te plaît?”	1
plein	nueva	full, busy with people (plein)	adjective	theo-ecoute-pour-lea	Le café est plein, et Léa est occupée.	2
pleurer	nueva	to cry (pleurer)	verb	a-samedi-hugo	Je ne veux pas pleurer.”	1
plies	nueva	you bend (plier)	verb	clara-tient-la-boule	Tu plies les genoux.	1
plus	nueva	no longer (ne ... plus); more (plus)	adverb	une-goutte-chaque-nuit	Maintenant, tu n'as plus besoin de moi.”	6
poche	nueva	pocket (la poche)	noun	a-samedi-hugo	Léa serre le cochonnet dans sa poche.	1
poignée	nueva	door handle (la poignée)	noun	l-annonce-du-couloir	Léa touche doucement la poignée de la porte de Hugo.	1
points	nueva	points (le point)	noun	treize-comme-avant	“On joue en treize points.	1
port	nueva	harbour, port (le port)	noun	vingt-minutes-c-est-long	Ici, le port est à dix minutes à pied.	3
portable	nueva	mobile phone (le portable)	noun	theo-ecoute-pour-lea	Un message vocal arrive sur son portable.	6
porte-bonheur	nueva	lucky charm (le porte-bonheur)	noun	la-boule-porte-bonheur	La boule porte-bonheur	5
portent	nueva	they carry (porter)	verb	le-fauteuil-descend	Elles portent le fauteuil lentement, ensemble.	1
porter	nueva	to carry (porter)	verb	le-fauteuil-descend	Léa veut le porter en bas, au café.	1
poubelle	nueva	bin (la poubelle)	noun	a-toi-la-boule	Les restes du gâteau vont à la poubelle.	1
