[CITA-AJENA] alma | with all your heart (con el alma) | No había señal ni un alma en la ruta. | <friends-argentina,friends-colombia>
[CITA-AJENA] partido | penniless (sin un peso partido) | Yina, su comadre y vendedora de raspao, ya tenía la nevera repleta de birras para ver el | <friends-colombia,friends-mexico>
[CITA-AJENA] sabroso | to dance with flavor (bailar sabroso) | Manu probó una, se quedó callada y admitió que estaba demasiado sabroso para hablar. | <friends,friends-colombia>
[CITA-AJENA] salía | would not go out (no salía) | Ronny entraba y salía con sillas prestadas, esquivando misterioso cada pregunta de la ro | <friends-colombia,friends-mexico,traveler-latam>
[CITA-AJENA] servido | handed on a plate (servido en bandeja) | A su lado, Nubia, la comadre que no se muerde la lengua, ya tenía servido su plato. | <friends-colombia>
[CITA-AJENA] tras | one after another (uno tras otro) | El polvo de la manga de coleo se levantó cuando el primer jinete salió disparado tras el | <friends,friends-colombia,friends-mexico,traveler-latam>
[CITA-AJENA] agarrando | finding the groove (agarrar el ritmo) | Nayeli, entre humo y mezcal, le echó en cara a Regina que apenas le estaba agarrando la  | <friends,friends-mexico>
[CITA-AJENA] atando | putting the pieces together (atar cabos) | “Con razón me trataban tan bien anoche”, comentó Regina atando cabos. | <friends,friends-mexico>
[CITA-AJENA] bomba | to drop a bombshell (soltar la bomba) | Al caer la tarde, Marisol soltó la bomba: había renunciado a la chamba, al sueldo, a la  | <friends,friends-mexico>
[CITA-AJENA] caigo | to land on my feet (caer parado) | Chuy: Sale, pues, cabrón, pero al bajar me invitas las cervezas; y si me caigo allá arri | <friends,friends-mexico>
[CITA-AJENA] caía | his world fell apart (se le caía el mundo) | Salieron sudados a la calle, y él ya preguntaba cuándo caía la próxima función. | <friends-mexico>
[CITA-AJENA] difícil | to play hard to get (hacerse la difícil) | “No manches, esto está más difícil que subir a Chichén”, bufó, sudando por el calor. | <friends,friends-mexico,traveler-latam>
[CITA-AJENA] foco | the lightbulb moment (prenderse el foco) | Aldo sirvió la última ronda, Chucho terminó de pintarle las alas al alebrije bajo la luz | <friends,friends-mexico>
[CITA-AJENA] madres | to not matter at all (valer madres) | Regina no entendía ni madres. | <friends,friends-mexico>
[CITA-AJENA] mames | no way, you're kidding | “No mames, esta salsa sí levanta muertos”, dijo Regina, ya más despabilada. | <friends,friends-mexico>
[CITA-AJENA] pastor | al pastor (taco style) | Cerraron la noche con unos tacos al pastor en la esquina, con todo y piña, parados en la | <friends-mexico,traveler-latam>
[CITA-AJENA] perdido | lost; had already lost (ya había perdido) | Chucho contaba, por enésima vez, cómo se había perdido en el cerro buscando copal para s | <friends-mexico,traveler-latam>
[CITA-AJENA] vara | to take teasing without cracking (aguantar vara) | Marisol maniobraba la vara como si hubiera nacido en el agua. | <friends,friends-mexico>
[CITA-AJENA] nubes | walking on air (en las nubes) | Las nubes grises cubren Madrid, y Lucía y Marta caminan por la Gran Vía, la calle más fa | <friends-spain-a0,traveler-latam,traveler-mexico-a0>
[CITA-AJENA] derecha | to stand up straight (pararse derecha) | Pilar se paró derecha, saboreando su pequeña victoria en plena vereda. | <friends,traveler-latam>
[CITA-AJENA] paró | stood up straight (pararse derecha) | Pilar se paró derecha, saboreando su pequeña victoria en plena vereda. | <friends,traveler-latam>
[CITA-AJENA] trato | a deal (sellar el trato) | Sellaron el trato con un brindis de chocolate, chocando las tazas como si fueran polas. | <friends,traveler-latam>
[CITA-AJENA] valor | to gather courage (armarse de valor) | Yuly le pasó una birra fría para darle valor antes del intento. | <friends,traveler-mexico-a0>
[CITA-AJENA] banderas | red flags (banderas rojas) | Daniela mira el patio lleno de luces y banderas. | <traveler-latam>
[CITA-AJENA] cantar | to admit defeat (cantar la retirada) | Todos aplauden y empiezan a cantar. | <traveler-latam,traveler-mexico-a0>
[CITA-AJENA] dejaba | would not let up (no lo dejaba) | Marina: ¿Y mi abuela te dejaba volver tan tarde? | <traveler-latam>
[CITA-AJENA] persona | in person (en persona) | Su aventura en Perú empieza con una persona amable. | <traveler-latam>
[CITA-AJENA] reconoce | is recognized (se reconoce) | La señora la reconoce y sonríe: “¡Hola, otra vez!” | <traveler-latam>
[CITA-AJENA] ridículo | to humiliate (dejar en ridículo) | Si no, vamos a hacer el ridículo delante de todo el barrio. | <traveler-latam>
[CITA-AJENA] área | area manager (jefa de área) | Carmen: Soy Carmen Ríos, la jefa del área. | <traveler-latam>
[CITA-AJENA] trapo | a worn out raspy voice (voz de trapo) | Pablo lo limpia con un trapo suave y le cuenta que el barro de la zona es muy fuerte. | <traveler-mexico-a0>
[CITA-AJENA] altbau | pre-war building: high ceilings, rarely an elevator (der Altbau) | Katja: Siebzig Quadratmeter, Altbau, zwei Straßen weiter, Miete aus einem anderen Jahrze | <expat,hamburg>
[CITA-AJENA] beschwert | complains (sich beschweren) | Aber meistens ist es nur der Rücken, der sich beschwert. | <expat,hamburg>
[CITA-AJENA] eher | sooner, rather; sooner X than Y (eher X als Y) | Hier kriegst du eher Karten für ein ausverkauftes Konzert als einen Termin beim Bürgeram | <expat,hamburg>
[CITA-AJENA] freue | I am glad (ich freue mich, from sich freuen) | Ich freue mich sehr, du... | <expat,hamburg>
[CITA-AJENA] grüßen | greetings (der Gruß, dative); to greet | Mit freundlichen Grüßen, das Treppenhaus. | <expat,hamburg>
[CITA-AJENA] gute | good (gut, declined) | Mira: Gute Besserung wünscht mir hier sonst keiner. | <expat,hamburg>
[CITA-AJENA] guten | good (gut, declined) | Formulare gehören in dieser Stadt zu jeder guten Nachricht. | <expat,hamburg>
[CITA-AJENA] hause | home (nach Hause, from ward) | Nadia geht nach Hause, den Schlüssel in der Tasche. | <expat,hamburg>
[CITA-AJENA] hör | listen (hören, imperative); listen up (Hör zu) | Nadia: Hör zu: Der Fall Pizzakarton wurde aufgeklärt, dritter Stock, man bittet um Entsc | <expat,hamburg>
[CITA-AJENA] hören | to listen; listen (Hören Sie, from formal) | Brandt: Hören Sie. | <expat,hamburg>
[CITA-AJENA] liegen | to lie; it will suit you (das wird Ihnen liegen) | Präzision unter Druck; das Projekt wird Ihnen liegen. | <expat,hamburg>
[CITA-AJENA] sage | say (sagen, ich form) | (NO APARECE) | <expat,hamburg>
[CITA-AJENA] stand | stood; was written (stehen, past) | Nadia: Vor einem Jahr stand ich genau hier, mit deinem Blick. | <expat,hamburg>
[CITA-AJENA] stapeln | to pile up (sich stapeln) | Vor Timos Haus stapeln sich Kartons; der Altbau kontert mit fünftem Stock ohne Aufzug. | <expat,hamburg>
[CITA-AJENA] suchen | to look for; we've been looking for you (wir suchen Sie) | (NO APARECE) | <expat,hamburg>
[CITA-AJENA] vom | from the (von + dem) | Mein Vermieter ist seit einer Woche wie vom Erdboden verschluckt. | <expat,friends,hamburg>
[CITA-AJENA] weißt | know (wissen, du form) | Und weißt du, was das Verrückteste ist? | <expat,hamburg>
[CITA-AJENA] wichtigste | most important (wichtig, superlative) | Der Dienstausweis ist noch warm aus dem Drucker, da lernt Nadia die wichtigste Landkarte | <expat>
[CITA-AJENA] zum | to the (zu + dem) | Du stehst hier sicher nicht zum Vergnügen um diese Uhrzeit. | <expat,friends,hamburg>
[CITA-AJENA] zur | to the (zu + der) | An der Treppe zur U-Bahn dann das gelbe Schild, und Timos Gesicht verliert jede Gelassen | <expat,friends,hamburg>
[CITA-AJENA] aufs | onto the (auf das) | Ronny schmeißt vor lauter Freude eine ganze Runde Currywurst raus und ruft, heute Abend  | <friends,hamburg>
[CITA-AJENA] fürs | for the (für das) | Sie muss niemandem mehr etwas beweisen, denn Micha hat ihr im Halbschlaf schon einen Pla | <friends,hamburg>
[CITA-AJENA] ab | from (a point in time); from 6:58 on (ab 6:58) | Merle, die dazugestoßen ist, winkt ab und zeigt in die andere Richtung, zur Alster. | <hamburg,traveler-a0>
[HERE] allein | alone; here: just (the word alone) | Die Texte lernst du beim dritten Spiel von allein. | <hamburg>
[CITA-AJENA] beim | at the (bei + dem) | Die Texte lernst du beim dritten Spiel von allein. | <hamburg>
[CITA-AJENA] besten | best (gut, superlative declined) | Das schreibst du dir am besten rot an. | <hamburg>
[CITA-AJENA] bist | are (sein, du form) | Nora: Schön, dass du gekommen bist, Frau Boysen. | <hamburg>
[CITA-AJENA] bloß | definitely not, no way (bloß nicht!) | Bloß nicht schwärmen. | <hamburg>
[CITA-AJENA] da | there; there's one (da ist einer) | Da wird nicht gewartet, Nora. | <hamburg>
[CITA-AJENA] daran | at that; at precisely that point (genau daran) | Ich habe zwei Tage daran gesessen. | <hamburg>
[CITA-AJENA] dein | your; are you serious? (Dein Ernst?) | Und jetzt iss dein Stück, bevor der Kuchen trocken wird. | <hamburg>
[CITA-AJENA] dreht | turns (drehen); turns around (dreht sich um) | Nora dreht sich an der Ecke noch einmal zum Wasser um, dann folgt sie den anderen nach H | <hamburg>
[HERE] dünn | thin; here: flimsy, weak | Ist es zu dünn? | <hamburg,traveler-a0>
[CITA-AJENA] ernst | serious (der Ernst); seriously? (Dein Ernst?) | Ole: Er meint das ernst. | <hamburg>
[CITA-AJENA] erst | only, not until; for now (erst mal) | Nora: Andere würden sich bei so einem Wetter gar nicht erst aus dem Bett wagen. | <hamburg>
[CITA-AJENA] erste | first (erst, declined) | Boysen schneidet den Kuchen an und schiebt Nora das erste Stück hin. | <hamburg,traveler-a0>
[HERE] fenster | window; here: assigned time slot (das Fenster) | Nora zählt die Fenster. | <hamburg>
[CITA-AJENA] früh | early; too early (zu früh) | Sonntags früh im Fischmarkt macht der Norden eine einzige Ausnahme. | <hamburg>
[CITA-AJENA] fällt | falls; the decision is made (die Entscheidung fällt) | Ein Tor fällt, und die Tribüne explodiert in einem einzigen Aufschrei. | <hamburg>
[CITA-AJENA] geht | goes; go ahead (Geht vor, from gehen) | Es geht nicht um besser, es geht um Zugehörigkeit. | <hamburg>
[CITA-AJENA] genommen | taken (nehmen); would have taken me (hätte mich genommen) | Nora: Weil mich vor einem Jahr jemand an genau dieser Theke an die Hand genommen hat. | <hamburg>
[CITA-AJENA] gern | gladly; would like (hätte gern) | Sehr gern. | <hamburg>
[CITA-AJENA] hast | have (haben, du form) | Ole: Und du hast gerade deine erste Vokabel gelernt: Kann man so machen. | <hamburg,traveler-a0>
[CITA-AJENA] herzlich | warm, cordial; welcome (herzlich willkommen) | Wer bohrt, wirkt übergriffig, nicht herzlich. | <hamburg>
[CITA-AJENA] hin | there (direction); there alone (allein hin) | Boysen schneidet den Kuchen an und schiebt Nora das erste Stück hin. | <hamburg>
[CITA-AJENA] hätte | would have (haben, Konjunktiv II) | Ole zählt im Stillen die Jahre, die er auf so eine Wohnung gewartet hätte. | <hamburg>
[CITA-AJENA] hört | hears (hören); one hears (man hört) | Ole kommt herein, hört das Stichwort und grinst. | <hamburg>
[CITA-AJENA] jahren | years (das Jahr, dative) | In sieben Jahren spricht sie längst fließend Hamburgisch, hat zwei Umzüge hinter sich un | <hamburg,traveler-a0>
[CITA-AJENA] kehrt | returns (zurückkehren; kehrt ... zurück) | Wenn das Wasser kehrt. | <hamburg>
[CITA-AJENA] kommen | to come; come along (Kommen Sie) | Zur kleinen Einweihung in Noras Wohnung kommen nur drei Gäste, dafür bringt jeder etwas  | <hamburg>
[CITA-AJENA] kommst | come (kommen, du form); coming? (Kommst du?) | Du kommst wegen der Aussicht und gehst mit drei Kilo Aal. | <hamburg>
[CITA-AJENA] kopf | head (der Kopf); in her head (im Kopf) | Es fühlt sich nur an, als hätte jemand die Tür zu meinem Kopf geöffnet, ohne vorher zu k | <hamburg,traveler-a0>
[CITA-AJENA] könnte | could (können, Konjunktiv II) | Ich könnte mir das gut vorstellen. | <hamburg>
[CITA-AJENA] laden | shop (der Laden); load the page (Seite laden) | Im Laden hängt eine ganze Wand voller gelber Regenmäntel. | <hamburg,traveler-a0>
[CITA-AJENA] lang | long; for a whole week (eine Woche lang) | Zwei Stunden lang darfst du hier alles rauslassen, was die Woche über drin bleibt. | <hamburg,traveler-a0>
[CITA-AJENA] lass | let (lassen); let me guess (lass mich raten) | Merle: Lass ihn hier. | <hamburg,traveler-a0>
[CITA-AJENA] legt | lays, puts (legen); presents (legt vor) | Als kleines Mitbringsel legt Nora eine Zimtschnecke aus dem neuen schwedischen Café auf  | <hamburg,traveler-a0>
[CITA-AJENA] lässt | lets (lassen); can be done (lässt sich) | Man lässt hier keinen allein husten. | <hamburg,traveler-a0>
[HERE] läuft | runs; here: nothing works (laufen) | Ole: So läuft das Theater. | <hamburg>
[CITA-AJENA] machen | to make, do; to finish (fertig machen) | Carstens: Kann man so machen. | <hamburg>
[CITA-AJENA] mal | time(s); for now (erst mal) | Das höre ich heute zum ersten Mal. | <hamburg>
[CITA-AJENA] morgen | morning; this morning (heute Morgen) | Wer heute nicht schwärmt, klagt morgen nicht über jede Kleinigkeit. | <hamburg>
[CITA-AJENA] muss | must (müssen); nobody has to (niemand muss) | Ohne dass ich betteln muss? | <hamburg,traveler-a0>
[CITA-AJENA] neuer | new (neu, declined) | Ole, ihr neuer Kollege, holt sie ab und grinst schon, bevor sie den Mund aufmacht. | <hamburg>
[CITA-AJENA] noch | still, yet; fourteen more (noch vierzehn) | Das Sie hat seinen Sinn, solange man sich noch beschnuppert. | <hamburg>
[CITA-AJENA] näher | approach) (nearer, closer (näher kommen) | Je näher man sich ist, desto weniger bohrt man. | <hamburg>
[CITA-AJENA] punkt | at seven sharp (Punkt sieben) | Fester Punkt, fester Magen. | <hamburg>
[CITA-AJENA] raus | out; phone out (Handy raus) | Zieh den Nerz an, geh raus, und der Regen wird dir gleichgültig. | <hamburg>
[CITA-AJENA] redet | talks (reden); wer redet, verliert | Merle: Hier redet man erst, wenn man wirklich etwas zu sagen hat. | <hamburg,traveler-a0>
[CITA-AJENA] rot | red; to mark red (rot anstreichen) | Das schreibst du dir am besten rot an. | <hamburg,traveler-a0>
[CITA-AJENA] sag | say (sagen, imperative) | Kunde: Sag bloß nicht Zimtschnecke, wenn ein Hamburger dabei ist. | <hamburg,traveler-a0>
[CITA-AJENA] seite | page (die Seite); load the page (Seite laden) | Ole zieht Nora kurz zur Seite und spricht leise. | <hamburg,traveler-a0>
[CITA-AJENA] stellt | puts (stellen); puts down (stellt ab) | Frau Boysen von nebenan stellt einen selbstgebackenen Kuchen auf den Tisch, Ole eine Fla | <hamburg,traveler-a0>
[CITA-AJENA] tagen | days (der Tag, dative) | Wer sich verkriecht, ist in drei Tagen wieder auf den Beinen. | <hamburg,traveler-a0>
[CITA-AJENA] viertel | quarter; quarter to seven (Viertel vor sieben) | Nora: Der Schnitt ist vernünftig, das Viertel ruhig. | <hamburg>
[CITA-AJENA] weiter | further, on; you keep counting (rechne du weiter) | Der Regen fällt weiter, aber er erreicht sie nicht mehr. | <hamburg>
[CITA-AJENA] wollte | wanted (wollen, past) | Nora: Ich wollte eigentlich nur ein einzelnes Brötchen. | <hamburg>
[CITA-AJENA] wäre | would be (sein, Konjunktiv II) | Greve: Sie sagen das, als wäre es eine schlechte Nachricht. | <hamburg>
[CITA-AJENA] zieht | pulls (ziehen); moves (zieht nach Leipzig); drifts (der Herd zieht) | Ole zieht Nora kurz zur Seite und spricht leise. | <hamburg,traveler-a0>
[CITA-AJENA] zu | to; into towers (too; zu Türmen) | Nora: Und ihr, die ihr sonst kein Wort zu viel sagt, singt hier zwei Stunden am Stück? | <hamburg>
[CITA-AJENA] zurück | back; returns (kehrt ... zurück) | An der Theke wirft ein Stammkunde Wiebke ein fröhliches Hummel Hummel hin, und sie schie | <hamburg,traveler-a0>
[CITA-AJENA] bringen | to bring; bring (Bringen Sie, from formal) | “Die bringen Glück. | <traveler-a0>
[CITA-AJENA] halb | half; half past EIGHT (halb neun) | Das Schloss ist halb kaputt. | <traveler-a0>
[CITA-AJENA] weh | that hurts (das tut weh) | Ihr Bein tut weh, und der Knöchel wird dick. | <traveler-a0>
[CITA-AJENA] zählt | counts (zählen); does not count (zählt nicht) | “Dresden, Heidelberg, Triberg”, zählt Elias. | <traveler-a0>
